t_name,code,name
Manipay,1,1) Manipay
Point Pedro,2,2) Point Pedro
Jaffna,3,3) Jaffna
Chavakachcheri,4,4) Chavakachcheri
Mullitan,5,5) Mullitan
Kachchativu,6,6) Kachchativu
Karativu,7,7) Karativu
Kilinochchi,8,8) Kilinochchi
Iranamadu,9,9) Iranamadu
Mullaitivu,10,10) Mullaitivu
NoName,11A,11A) NoName
Talaimannar,11,11) Talaimannar
Tunukkai,12,12) Tunukkai
Mankulam,13,13) Mankulam
Alampil,14,14) Alampil
Mannar,15,15) Mannar
Palampiddi,16,16) Palampiddi
Padawiya,17,17) Padawiya
Kokkilai,18,18) Kokkilai
Silavatturai,19,19) Silavatturai
Madhu Road,20,20) Madhu Road
Vavunia,21,21) Vavunia
Pankulam,22,22) Pankulam
Nilaveli,23,23) Nilaveli
Wilpattu,24,24) Wilpattu
Tantirimale,25,25) Tantirimale
Medawachchiya,26,26) Medawachchiya
Horowupotana,27,27) Horowupotana
Trincomalee,28,28) Trincomalee
Kalpitiya,29,29) Kalpitiya
Kala Oya,30,30) Kala Oya
Anuradhapura,31,31) Anuradhapura
Kaudulla,32,32) Kaudulla
Kathiraveli,33,33) Kathiraveli
puttalam,34,34) puttalam
Galgamuwa,35,35) Galgamuwa
Kekirawa,36,36) Kekirawa
Polonnaruwa,37,37) Polonnaruwa
Vakaneri,38,38) Vakaneri
Kalkudah,39,39) Kalkudah
Battuluoya,40,40) Battuluoya
Nikaweratiya,41,41) Nikaweratiya
Dambulla,42,42) Dambulla
Elahera,43,43) Elahera
Rukam,44,44) Rukam
Batticaloa,45,45) Batticaloa
Chilaw,46,46) Chilaw
Kurunegala,47,47) Kurunegala
Matale,48,48) Matale
Pallegama,49,49) Pallegama
Maha Oya,50,50) Maha Oya
Paddirippu,51,51) Paddirippu
Kochchikade,52,52) Kochchikade
Kegalle,53,53) Kegalle
Kandy,54,54) Kandy
Mahiyangana,55,55) Mahiyangana
Padiyatalawa,56,56) Padiyatalawa
Amparai,57,57) Amparai
Kalmunai,58,58) Kalmunai
Negombo,59,59) Negombo
Attanagalla,60,60) Attanagalla
Gampola,61,61) Gampola
Hanguranketa,62,62) Hanguranketa
Bibile,63,63) Bibile
Tirukkovil,64,64) Tirukkovil
Thampaddai,65,65) Thampaddai
Colombo,66,66) Colombo
Avissawella,67,67) Avissawella
Nuwara Eliya,68,68) Nuwara Eliya
Badulla,69,69) Badulla
Moneragala,70,70) Moneragala
Pottuvil,71,71) Pottuvil
Konari,72,72) Konari
Kalutara,73,73) Kalutara
Ratnapura,74,74) Ratnapura
Balangoda,75,75) Balangoda
Haputale,76,76) Haputale
Buttala,77,77) Buttala
Panama,78,78) Panama
Alutgama,79,79) Alutgama
Matugama,80,80) Matugama
Rakwana,81,81) Rakwana
Timbolketiya,82,82) Timbolketiya
Kataragama,83,83) Kataragama
Yala,84,84) Yala
Balapitiya,85,85) Balapitiya
Ambalangoda,86,86) Ambalangoda
Morawaka,87,87) Morawaka
Hambantota,88,88) Hambantota
Tissamaharama,89,89) Tissamaharama
Galle,90,90) Galle
Matara,91,91) Matara
Tangalla,92,92) Tangalla
